index,name,party,fb_id,
1,Ágh Péter,Fidesz,aghpetervasmegye,
2,Bányai Gábor,Fidesz,banyaigaborkepviselo,
3,Bősz Anett,DK,boszanett.blogja,
4,Dr. Brenner Koloman,Jobbik,Dr.Brenner.Koloman,
5,Dr. Budai Gyula,Fidesz,dr.budai.gyula,
6,Burány Sándor,Párbeszéd,Burany.Kispest.Kobanya,
7,Farkas Gergely,független,farkas.gergely1986,
8,Farkas Sándor,Fidesz,farkassandorszentes,
9,Horváth László,Fidesz,laszlo.horvath.31,
10,Dr. Hörcsik Richárd,Fidesz,Dr-Hörcsik-Richárd-358624704555983,
11,Kovács Sándor,Fidesz,kovacssandorszabolcs05,
12,Németh Szilárd István,Fidesz,nemeth.szilard.fidesz,
13,Orbán Viktor,Fidesz,orbanviktor,
14,Gyurcsány Ferenc,DK,gyurcsanyf,
15,Jakab Péter,Jobbik,jakab.peter.miskolc,
16,Ander Balázs,Jobbik,anderbalazs,
17,Dr. Apáti István,független,dr.apati.istvan,
18,Dr. Aradszki András,KDNP,drandras.aradszki,
19,Arató Gergely,DK,aratogergely,
20,B. Nagy László,Fidesz,bnagylaszlo,
21,Dr. Bajkai István,Fidesz,drbajkaiistvan,
22,Balczó Zoltán,Jobbik,balczo.zoltan,
23,Balla Mihály,Fidesz,ballamihalyogy,
24,Bana Tibor,független,banatibor,
25,Bangóné Borbély Ildikó,MSZP,bnebildiko,
26,Barcza Attila,Fidesz,barcza.attila,
28,Dr. Becsó Károly,Fidesz,becsokaroly,
29,Becsó Zsolt,Fidesz,becsozsoltogy,
30,Bencsik János,független,bencsikjanos1985,
31,Bencsik János,Fidesz,tataimedenceert,
32,Bodó Sándor,Fidesz,Bodó-Sándor-746134725416297,
33,Boldog István,Fidesz,boldog.istvan.ketpo,
34,Bóna Zoltán,Fidesz,bonazoltanfidesz,
35,Böröcz László,Fidesz,boroczlaszlo.hu,
36,Csányi Tamás,Jobbik,csanyitamas.mezotur,
37,Csárdi Antal,LMP,csardiantal,
38,Csenger-Zalán Zsolt,Fidesz,csenger.zalan.zsolt,
39,Cseresnyés Péter,Fidesz,cseresnyes.peter,
40,Csöbör Katalin,Fidesz,CsoborKatalin,
41,Czerván György,Fidesz,czervan1959,
42,Czunyiné Dr. Bertalan Judit,Fidesz,drbertalan.judit,
43,Dankó Béla,Fidesz,danko.bela.bekes.vk.2,
44,Demeter Márta,LMP,demetermarta.kozszereplo,
45,Demeter Zoltán,Fidesz,Demeter-Zoltán-514167525368534,
46,Dömötör Csaba,Fidesz,domotor.csaba.gov,
47,Dudás Róbert,Jobbik,dudasrobert.jobbik,
48,Dunai Mónika,Fidesz,dunai.monika.fidesz,
49,Dúró Dóra,független,durodora,
50,F Kovács Sándor,Fidesz,f.kovacs.sandor,
51,Dr. Fazekas Sándor,Fidesz,drfazekassandor,
52,Fenyvesi Zoltán,Fidesz,fenyvesizoli,
53,Font Sándor,Fidesz,FontSandor,
54,Földi László,KDNP,foldilaszlopest12,
55,Dr. Fülöp Erik,független,dr.fulop.erik,
56,Gelencsér Attila,Fidesz,gelencsera,
57,Gulyás Gergely,Fidesz,gergely.gulyas.585,
58,Dr. Gurmai Zita,MSZP,gurmai.zita,
59,Gyopáros Alpár,Fidesz,alpar.gyoparos,
60,Győrffy Balázs,Fidesz,gyorffybalazshivatalosoldala,
61,Dr. Gyüre Csaba,Jobbik,drgyurecsaba,
62,Dr. Hadházy Ákos,független,hadhazyakos,
63,Hadházy Sándor,Fidesz,hadhazysandor,
64,Hajdu László,DK,hajdu2018,
65,Halász János,Fidesz,HalaszJanosDebrecen,
66,Dr. Harangozó Tamás,MSZP,harangozo.t,
67,Dr. Hargitai János,KDNP,Dr-Hargitai-János-761618630695671,
68,Harrach Péter,KDNP,harrachpeter,
69,Hende Csaba,Fidesz,hmhendecsaba,
70,Herczeg Tamás,Fidesz,herczegtamas10,
71,Dr. Hiller István,MSZP,hiller.istvan,
72,Hiszékeny Dezso,MSZP,HiszekenyDezso,
73,Hohn Krisztina,LMP,hohnkrisztina,
74,Hollik István,KDNP,hollikistvan,
75,Dr. Hoppál Péter,Fidesz,hoppalpeter,
76,Horváth István,Fidesz,horvathistvan.szekszard,
77,Hubay György,Fidesz,Hubay.Miskolc,
78,Juhász Hajnalka,KDNP,juhaszhajnalkakdnp,
79,Dr. Kállai Mária,Fidesz,drkallaimaria,
80,Kálló Gergely,Jobbik,kallo.gergely,
81,Kara Ákos,Fidesz,karaakos.gyor,
82,Dr. Keresztes László Lóránt,LMP,Keresztes.Laszlo.Lorant,
83,Kocsis Máté,Fidesz,kocsismate,
84,Kocsis-Cake Olivio,Párbeszéd,kocsiscakeolivio,
85,Dr. Koncz Zsófia,Fidesz,dr.Koncz.Zsofia,
86,Kontrát Károly,Fidesz,kontratkaroly,
87,Korózs Lajos,MSZP,korozslajos,
88,Kósa Lajos,Fidesz,KosaLajos,
89,Dr. Kovács József,Fidesz,drkovacsjozsef04,
90,Dr. Kovács Zoltán,Fidesz,kovacszoltan.fidesz,
91,Kubatov Gábor,Fidesz,kubatovgabor,
